# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12715
#@/user_id	yongli-macbookpro
a 	啊	c=86 d=2.9125 t=12715
deng hui 	燈會	c=1 d=1.62976e-11 t=12715
deng ji 	登機	c=2 d=5.36078e-11 t=12715
deng jia 	等價	c=2 d=0.0159177 t=12715
deng li jun 	鄧麗君	c=0 d=0.0255381 t=12715
deng lu 	登錄	c=5 d=0.0341939 t=12715
deng ni 	等你	c=2 d=2.3427e-10 t=12715
deng wo 	等我	c=1 d=1 t=11885
deng yi xia 	等一下	c=1 d=3.10631e-11 t=12715
deng yu 	等於	c=1 d=1 t=8970
di 	低	c=1 d=1.38879e-11 t=12715
di 	底	c=1 d=0.00543443 t=12715
di 	第	c=3 d=0.0608707 t=12715
di bai 	迪拜	c=1 d=5.39796e-12 t=12715
di dian 	地點	c=1 d=1 t=12534
di er 	第二	c=0 d=0.0826959 t=12715
di er ge 	第二個	c=4 d=0.0154171 t=12715
di er lun 	第二輪	c=1 d=3.30637e-10 t=12715
di er xiang 	第二箱	c=1 d=0.831104 t=12715
di fang 	地方	c=15 d=0.0464755 t=12715
di gui 	遞歸	c=1 d=1 t=9129
di guo 	帝國	c=1 d=1.35473e-13 t=12715
di jin 	遞進	c=1 d=1 t=10302
di san pi 	第三批	c=4 d=0.287941 t=12715
di shang 	地上	c=1 d=0.0271173 t=12715
di tie zhan 	地鐵站	c=1 d=1 t=10164
di yi ben 	第一本	c=1 d=2.62613e-06 t=12715
di yi ci 	第一次	c=1 d=0.818731 t=12715
di yi dai 	第一代	c=1 d=3.84015e-06 t=12715
di yi ge 	第一個	c=2 d=0.0100916 t=12715
di yi hang 	第一行	c=1 d=0.148081 t=12715
di yi jian 	第一件	c=1 d=0.00873865 t=12715
di yi lun 	第一輪	c=1 d=3.2409e-10 t=12715
di zhi 	地址	c=5 d=1.03666 t=12715
di zhi lan 	地址欄	c=1 d=0.852144 t=12715
dian 	點	c=23 d=2.34218 t=12715
dian ban 	點半	c=2 d=0.0060205 t=12715
dian de 	點的	c=1 d=1 t=12502
dian hua 	電話	c=1 d=1.7042e-08 t=12715
dian hua ka 	電話卡	c=1 d=2.22168e-09 t=12715
dian liang 	電量	c=1 d=5.96262e-06 t=12715
dian nao 	電腦	c=5 d=0.0572069 t=12715
dian nao shang 	電腦上	c=1 d=2.4933e-13 t=12715
dian shi ju 	電視劇	c=0 d=0.025924 t=12715
dian xing 	典型	c=1 d=1.39865e-06 t=12715
dian ying 	電影	c=1 d=0.000125275 t=12715
dian ying yuan 	電影院	c=1 d=0.355226 t=12715
dian zhong 	點鐘	c=1 d=1 t=12350
dian zi 	電子	c=1 d=1.09656 t=9629
dian zi shang pin 	電子商品	c=1 d=1 t=9623
diao 	吊	c=1 d=0.582748 t=12715
diao 	屌	c=1 d=0.00321477 t=12715
diao 	掉	c=5 d=0.0012684 t=12715
diao jie fa 	調節閥	c=0 d=0.118492 t=12715
ding 	丁	c=1 d=0.179066 t=12715
ding 	定	c=4 d=1.00061 t=12444
ding can 	訂餐	c=1 d=1.15663e-06 t=12715
ding dan 	訂單	c=4 d=3.38605e-05 t=12715
ding dan hao 	訂單號	c=4 d=4.14107e-11 t=12715
ding hao 	訂好	c=1 d=3.53756e-11 t=12715
ding hao 	鼎好	c=2 d=4.48884e-11 t=12715
ding qi 	定期	c=1 d=0.00647375 t=12715
ding shi 	定時	c=3 d=0.0168847 t=12715
ding wan 	訂完	c=1 d=1.02371e-11 t=12715
ding yi 	定義	c=4 d=0.356734 t=12715
ding zhi 	定製	c=2 d=1.92244 t=12715
dong 	懂	c=0 d=0.0941764 t=12715
dong de 	懂得	c=1 d=4.09875e-08 t=12715
dong fang hang kong 	東方航空	c=1 d=5.23931e-14 t=12715
dong xi 	東西	c=13 d=1.19458 t=12715
dou 	都	c=46 d=1.96126 t=12715
dou ban 	豆瓣	c=2 d=0.0220554 t=12715
dou bu gui 	都不貴	c=1 d=1 t=9401
dou dui 	都對	c=1 d=3.72729e-08 t=12715
dou en na ge 	都恩哪個	c=1 d=1.32039e-05 t=12715
dou hen 	都很	c=1 d=0.694196 t=12715
dou hui 	都會	c=1 d=1 t=12389
dou jiao 	都叫	c=1 d=0.0306537 t=12715
dou ke yi 	都可以	c=1 d=1 t=8915
dou neng 	都能	c=1 d=0.591556 t=12715
dou qu 	都去	c=1 d=0.382893 t=12715
dou shi 	都是	c=21 d=1.32261 t=12715
dou wei 	都爲	c=2 d=0.0203434 t=12715
dou yao 	都要	c=3 d=0.00198925 t=12715
dou you 	都有	c=2 d=0.29523 t=12715
dou zai 	都在	c=2 d=1.00372 t=12519
du 	度	c=2 d=0.614254 t=12715
du 	讀	c=10 d=4.51882 t=11998
du chen jie 	杜宸杰	c=4 d=2.40769 t=12715
du dao 	讀到	c=1 d=6.72283e-06 t=12715
du li 	獨立	c=1 d=1.6957e-07 t=12715
du wan 	讀完	c=4 d=1.49271 t=11458
du yan 	讀研	c=2 d=1.04736 t=11821
duan 	斷	c=2 d=4.9834e-09 t=12715
duan 	段	c=1 d=1.00028 t=11318
duan qi 	短期	c=1 d=0.460704 t=12715
dui 	對	c=33 d=1.60763 t=12715
dui a 	對啊	c=6 d=0.527292 t=12715
dui de 	對的	c=3 d=0.343009 t=12715
dui le 	對了	c=3 d=4.56963e-06 t=12715
dui li 	對立	c=1 d=1 t=8960
dui ya 	對呀	c=1 d=9.56649e-09 t=12715
dui ying 	對應	c=1 d=0.0158435 t=12715
dui yu 	對於	c=13 d=0.393192 t=12715
duo 	多	c=17 d=0.00490249 t=12715
duo bang 	多鎊	c=1 d=3.54611e-10 t=12715
duo chi 	多吃	c=0 d=0.0239309 t=12715
duo chi dian 	多吃點	c=1 d=0.240508 t=12715
duo chi fan 	多吃飯	c=1 d=2.95381e-07 t=12715
duo chu 	多出	c=1 d=2.44984e-12 t=12715
duo chu qian 	多出錢	c=1 d=1 t=9453
duo jiang 	多講	c=1 d=0.238115 t=12715
duo jiu 	多久	c=3 d=1.81323 t=12383
duo la a meng 	哆啦A夢	c=1 d=0.285076 t=12715
duo le 	多了	c=0 d=1.69541e-06 t=12715
duo shao 	多少	c=3 d=0.798516 t=12715
duo shi 	多是	c=1 d=2.21098e-11 t=12715
duo zhong 	多種	c=2 d=0.111917 t=12715
e 	額	c=10 d=0.251338 t=12715
e lie 	惡劣	c=0 d=1.8325e-09 t=12715
e wai 	額外	c=1 d=0.000876127 t=12715
e yun she 	遏雲社	c=1 d=8.68147e-14 t=12715
ei 	誒	c=2 d=0.0869358 t=12715
en 	恩	c=29 d=1.10969 t=12715
en en 	嗯嗯	c=10 d=0.541554 t=12715
er 	兒	c=2 d=0.0432828 t=12715
er 	而	c=8 d=0.117946 t=12715
er ji 	耳機	c=1 d=3.81178e-07 t=12715
er qie 	而且	c=9 d=0.94075 t=12715
er qie ei 	而且誒	c=1 d=0.873716 t=12715
er shi 	而是	c=1 d=1 t=9568
er yi 	而已	c=1 d=1.26272e-09 t=12715
er yi xing 	二義性	c=3 d=2.60237 t=9657
er zi 	兒子	c=1 d=3.92853e-09 t=12715
fa 	法	c=1 d=0.00416933 t=12715
fa 	發	c=21 d=0.91223 t=12715
fa bu 	發佈	c=2 d=1.99501 t=11408
fa cuo 	發錯	c=3 d=0.891366 t=12715
fa gei 	發給	c=0 d=4.9933e-08 t=12715
fa gei ni 	發給你	c=2 d=0.444858 t=12715
fa gei wo 	發給我	c=1 d=5.01832e-07 t=12715
fa guo 	法國	c=1 d=1 t=11541
fa guo lai 	發過來	c=2 d=0.0925506 t=12715
fa huo 	發貨	c=1 d=0.293758 t=12715
fa la 	法拉	c=1 d=0.463221 t=12715
fa la sheng 	法拉盛	c=0 d=0.025924 t=12715
fa lan ke 	法蘭克	c=0 d=0.1 t=10012
fa lao sao 	發牢騷	c=0 d=0.0247833 t=12715
fa le 	發了	c=2 d=0.000154843 t=12715
fa lv jie 	法律界	c=0 d=0.0229948 t=12715
fa song 	發送	c=1 d=0.582748 t=12715
fa xi 	法系	c=0 d=0.0144424 t=12715
fa xi na 	法系那	c=1 d=0.145148 t=12715
fa xian 	發現	c=6 d=0.632785 t=12715
fa xian le 	發現了	c=1 d=0.43171 t=12715
fa yu 	法語	c=6 d=0.164474 t=12715
fa ze 	法則	c=5 d=0.00638874 t=12715
fa zhan 	發展	c=5 d=0.0322883 t=12715
fa zhan chu 	發展出	c=1 d=6.15907e-05 t=12715
false 	⊥	c=12 d=0.234445 t=12715
fan 	反	c=2 d=0.772097 t=12715
fan 	飯	c=1 d=1 t=12226
fan er 	反而	c=1 d=0.000523486 t=12715
fan fu 	反覆	c=1 d=0.00051312 t=12715
fan guo 	翻過	c=1 d=1 t=11096
fan guo lai 	反過來	c=1 d=1 t=11097
fan kang jun 	反抗軍	c=0 d=0.045222 t=12715
fan li 	反例	c=1 d=1 t=11030
fan na zheng 	反納徵	c=1 d=1.757e-13 t=12715
fan qiang 	翻牆	c=2 d=5.04945e-13 t=12715
fan qie 	番茄	c=1 d=1 t=9943
fan ti 	繁體	c=3 d=2.73838 t=12715
fan wei 	範圍	c=1 d=1 t=9940
fan zheng 	反正	c=5 d=0.453845 t=12715
fan zheng shi 	反正是	c=1 d=3.66169e-05 t=12715
fang 	房	c=11 d=0.719248 t=12715
fang 	放	c=7 d=0.371577 t=12715
fang an 	方案	c=5 d=0.849253 t=12715
fang bian 	方便	c=8 d=1.47587 t=12715
fang di 	放低	c=1 d=1 t=10421
fang dong 	房東	c=3 d=7.28276e-06 t=12715
fang fa 	方法	c=1 d=1.92148e-07 t=12715
fang jia 	房價	c=1 d=8.83248e-11 t=12715
fang jia 	放假	c=1 d=8.87676e-11 t=12715
fang jian 	房間	c=4 d=4.57119e-06 t=12715
fang mian 	方面	c=3 d=5.30515e-07 t=12715
fang na 	訪拿	c=0 d=0.00383888 t=12715
fang na gong mian 	訪拿共勉	c=1 d=2.38237e-07 t=12715
fang ru 	放入	c=1 d=1 t=8925
fang shang qu 	放上去	c=1 d=1.17148e-09 t=12715
fang shi 	方式	c=1 d=1 t=9127
fang shui 	防水	c=1 d=1.15943e-05 t=12715
fang xing 	房型	c=4 d=1.46133e-05 t=12715
fang yi xie 	放一些	c=1 d=0.000170803 t=12715
fang zai 	放在	c=1 d=3.44072e-08 t=12715
fang zhe 	放着	c=2 d=1.89583 t=10257
fang zheng 	方正	c=1 d=1 t=9463
fang zi 	房子	c=15 d=0.00308078 t=12715
fang zu 	房租	c=2 d=1.83662e-05 t=12715
fei 	費	c=6 d=0.370911 t=12715
fei chang 	非常	c=5 d=0.395188 t=12715
fei chang da 	非常大	c=1 d=1.41343e-12 t=12715
fei ji piao 	飛機票	c=1 d=9.78667e-12 t=12715
fei zhi lou 	廢紙簍	c=2 d=0.000478993 t=12715
fen 	分	c=5 d=0.249136 t=12715
fen 	粉	c=0 d=2.87393e-09 t=12715
fen bie 	分別	c=2 d=0.582748 t=12715
fen fen 	分分	c=0 d=0.1 t=11377
fen fen 	粉粉	c=1 d=1 t=10228
fen fen zhong 	分分鍾	c=1 d=1 t=11378
fen kai 	分開	c=2 d=0.0301229 t=12715
fen lan 	芬蘭	c=9 d=1.32783e-10 t=12715
fen lei 	分類	c=4 d=0.651075 t=12715
fen shao 	焚燒	c=2 d=2.94838e-07 t=12715
fen tan 	分攤	c=1 d=1.62555e-10 t=12715
fen tou 	分頭	c=1 d=1 t=12416
fen xi 	分析	c=1 d=0.0611149 t=12715
fen xiang 	分享	c=1 d=0.65377 t=12715
fen zhong 	分鐘	c=5 d=0.0916297 t=12715
feng 	封	c=0 d=0.000932553 t=12715
feng 	馮	c=1 d=0.865022 t=12715
feng chao 	蜂巢	c=1 d=3.01348e-07 t=12715
feng ji kou 	風紀扣	c=0 d=0.0193013 t=12715
feng kuang 	瘋狂	c=1 d=0.000121866 t=12715
feng kuang cui 	瘋狂催	c=1 d=1 t=11374
feng shui 	風水	c=1 d=1 t=9468
fou 	否	c=3 d=0.0287542 t=12715
fou ding 	否定	c=2 d=0.00311444 t=12715
fou ze 	否則	c=2 d=0.273898 t=12715
fu 	付	c=1 d=1.95118e-11 t=12715
fu gai 	覆蓋	c=1 d=0.172045 t=12715
fu ha 	副哈	c=1 d=0.767206 t=12715
fu hao 	符號	c=6 d=1.03819 t=12715
fu he 	符合	c=6 d=0.00380936 t=12715
fu he 	複合	c=1 d=0.00163682 t=12715
fu jian 	附件	c=4 d=4.24043e-09 t=12715
fu jin 	附近	c=9 d=0.0179356 t=12715
fu lan ke 	弗蘭克	c=0 d=0.0256661 t=12715
fu qian 	付錢	c=1 d=1.86437e-05 t=12715
fu shu 	複數	c=1 d=1 t=10369
fu wu 	服務	c=1 d=0.0108347 t=12715
fu xi 	複習	c=1 d=1.09794e-11 t=12715
fu yu 	賦予	c=1 d=0.00182715 t=12715
fu za 	複雜	c=1 d=2.76839e-09 t=12715
fu zhi 	賦值	c=1 d=1 t=10868
gai 	改	c=8 d=0.647265 t=12715
gai 	該	c=7 d=1.54951 t=12715
gai ge 	改革	c=2 d=4.53259e-07 t=12715
gai jin 	改進	c=1 d=1.18877e-05 t=12715
gamma 	γ	c=1 d=0.00398587 t=12715
gan 	感	c=1 d=1.37451e-07 t=12715
gan 	趕	c=2 d=1.2658 t=12185
gan che 	趕車	c=1 d=1 t=12653
gan jin 	趕緊	c=2 d=1.00002 t=12036
gan jue 	感覺	c=25 d=1.72286 t=12715
gan ma 	幹嗎	c=1 d=1 t=11237
gan ma 	幹嘛	c=3 d=0.891366 t=12715
gan nv er 	乾女兒	c=1 d=1 t=11841
gan sha 	幹啥	c=2 d=0.960789 t=12715
gan shou yi xia 	感受一下	c=1 d=1 t=11847
gang 	剛	c=1 d=2.71967e-06 t=12715
gang cai 	剛纔	c=4 d=0.88692 t=12715
gang gang 	剛剛	c=1 d=0.414783 t=12715
gang qu 	剛去	c=1 d=1 t=11941
gao 	搞	c=11 d=2.22964 t=12715
gao 	高	c=1 d=1.65868e-12 t=12715
gao bu dao 	搞不到	c=1 d=6.94552e-07 t=12715
gao bu hao 	搞不好	c=1 d=1 t=11359
gao de 	搞得	c=1 d=1.45648e-12 t=12715
gao ding 	搞定	c=2 d=0.00535353 t=12715
gao dun 	高頓	c=1 d=1.01108e-12 t=12715
gao ge 	搞個	c=1 d=1.94046e-05 t=12715
gao le 	高了	c=2 d=2.13611e-07 t=12715
gao shen me 	搞什麼	c=4 d=1.47494 t=12715
gao su 	告訴	c=2 d=0.0298969 t=12715
gao tong 	睾酮	c=1 d=0.70822 t=12715
gao xiao 	高校	c=1 d=5.27741e-11 t=12715
gao xiao neng 	高效能	c=1 d=0.318224 t=12715
gao xing 	高興	c=0 d=0.0371577 t=12715
gao yi hui 	搞一會	c=1 d=1.72191e-11 t=12715
gao zhong 	高中	c=1 d=0.210136 t=12715
ge 	個	c=25 d=0.832633 t=12715
ge ren 	個人	c=2 d=1.62893e-05 t=12715
ge shi 	格式	c=1 d=1 t=9017
ge tou 	個頭	c=0 d=0.1 t=9316
ge xin 	革新	c=4 d=9.22896e-07 t=12715
ge yue 	個月	c=1 d=9.68434e-06 t=12715
ge zhong 	各種	c=1 d=0.219809 t=12715
ge zi 	各自	c=1 d=1 t=8849
gei 	給	c=26 d=0.792046 t=12715
gei chu 	給出	c=8 d=0.550082 t=12715
gei ding 	給定	c=5 d=0.00579923 t=12715
gei ni 	給你	c=8 d=1.19825 t=12715
gei ni kan 	給你看	c=1 d=0.408608 t=12715
gei wo 	給我	c=3 d=2.75047e-05 t=12715
gei wo men 	給我們	c=1 d=1 t=12499
gei yu 	給予	c=1 d=0.00181803 t=12715
gen 	跟	c=15 d=1.50488 t=12715
gen ben 	根本	c=4 d=0.45612 t=12715
gen bu shang 	跟不上	c=1 d=0.909373 t=12715
gen ju 	根據	c=3 d=0.764415 t=12715
gen ni 	跟你	c=5 d=0.00384878 t=12715
gen wo 	跟我	c=3 d=0.484325 t=12715
geng 	更	c=4 d=0.66034 t=12715
geng duo 	更多	c=2 d=0.0833272 t=12715
geng gai 	更改	c=1 d=1 t=9922
geng gao 	更高	c=3 d=1.97436e-07 t=12715
geng hao 	更好	c=1 d=0.00790705 t=12715
geng jia 	更加	c=1 d=9.80532e-05 t=12715
gong 	供	c=1 d=1 t=11450
gong ding 	拱頂	c=1 d=0.357007 t=12715
gong en 	宮恩	c=0 d=0.000744658 t=12715
gong en na ge 	宮恩那個	c=1 d=0.00748391 t=12715
gong jin 	公斤	c=1 d=6.57382e-07 t=12715
gong ju 	工具	c=2 d=1.99501 t=9229
gong mian 	共勉	c=0 d=2.37049e-08 t=12715
gong neng 	功能	c=7 d=0.889235 t=12715
gong neng jian 	功能鍵	c=1 d=2.16609e-05 t=12715
gong ren 	公認	c=1 d=8.69654e-05 t=12715
gong ren 	工人	c=1 d=8.65316e-05 t=12715
gong shi 	公式	c=3 d=0.0144141 t=12715
gong si 	公司	c=4 d=0.960789 t=12715
gong xiang de 	共享的	c=1 d=1 t=10123
gong zuo 	工作	c=10 d=0.349938 t=12715
gong zuo fa 	工作法	c=1 d=1 t=9944
google 	Google	c=1 d=0.496585 t=12715
gou 	夠	c=1 d=7.2302e-09 t=12715
gou 	狗	c=3 d=1.16917e-07 t=12715
gou jian 	構建	c=3 d=7.08462e-06 t=12715
gou jian chu 	構建出	c=1 d=7.12012e-05 t=12715
gou le 	勾勒	c=2 d=0.172045 t=12715
gou mai 	購買	c=9 d=0.0627404 t=12715
gou wu 	購物	c=6 d=0.767237 t=12715
gu 	故	c=1 d=1 t=10981
gu ji 	估計	c=2 d=1.00458 t=12644
gu ji yao 	估計要	c=1 d=1 t=11184
gu tai 	固態	c=1 d=0.000452827 t=12715
gu yi 	故意	c=2 d=0.0075215 t=12715
gua duan 	掛斷	c=0 d=1.7042e-08 t=12715
gua duan dian hua 	掛斷電話	c=1 d=1.71275e-07 t=12715
gua shang 	掛上	c=1 d=1.68724e-07 t=12715
guan 	管	c=0 d=1.6624e-10 t=12715
guan 	罐	c=1 d=0.346456 t=12715
guan 	關	c=1 d=0.000515692 t=12715
guan bi 	關閉	c=5 d=0.879466 t=12715
guan dian 	觀點	c=1 d=1 t=8961
guan ji 	關機	c=1 d=0.000411788 t=12715
guan jian 	關鍵	c=3 d=0.364561 t=12715
guan jian shi 	管堅實	c=1 d=1.67074e-09 t=12715
guan jian shi 	關鍵是	c=1 d=1.67911e-09 t=12715
guan li 	管理	c=6 d=0.406394 t=12715
guan tou 	罐頭	c=0 d=2.69958e-08 t=12715
guan tou zhuang 	罐頭裝	c=1 d=2.71311e-07 t=12715
guan xi 	關係	c=3 d=1.02016 t=10695
guan xin 	關心	c=11 d=0.652644 t=12715
guan yu 	關於	c=4 d=0.00898914 t=12715
guan zhu 	關注	c=8 d=0.0059344 t=12715
guang gan 	光感	c=1 d=4.73751e-06 t=12715
guang gao 	廣告	c=1 d=2.73423e-10 t=12715
guang jie 	逛街	c=2 d=0.895834 t=12715
guang xian 	光線	c=1 d=3.08977e-07 t=12715
gui 	歸	c=1 d=1 t=10343
gui 	貴	c=6 d=6.74024e-07 t=12715
gui ding 	規定	c=1 d=2.1939e-08 t=12715
gui fan 	規範	c=1 d=1 t=9014
gui gen jie di 	歸根結底	c=1 d=1 t=9979
gui hua 	規劃	c=2 d=1.99501 t=10475
gui na 	歸納	c=1 d=0.0165299 t=12715
gui na fa 	歸納法	c=0 d=0.1 t=10032
gui na jue 	歸納覺	c=1 d=0.166127 t=12715
gui qu 	歸去	c=1 d=1 t=11403
gui tai 	櫃檯	c=1 d=3.07435e-07 t=12715
guo 	國	c=1 d=1 t=11846
guo 	果	c=1 d=6.49272e-08 t=12715
guo 	過	c=7 d=0.140862 t=12715
guo cheng 	過程	c=8 d=0.153152 t=12715
guo ji 	國際	c=0 d=0.0436049 t=12715
guo ji shi xi sheng 	國際實習生	c=1 d=0.438235 t=12715
guo ji tian 	過幾天	c=1 d=1 t=11791
guo lai 	過來	c=12 d=0.310777 t=12715
guo le 	過了	c=2 d=0.172907 t=12715
guo min 	過敏	c=1 d=9.07489e-06 t=12715
guo nei 	國內	c=6 d=0.262042 t=12715
guo qu 	過去	c=16 d=0.580047 t=12715
guo ran 	果然	c=1 d=0.927743 t=12715
guo shi 	過時	c=1 d=2.29647e-07 t=12715
guo shui 	國稅	c=1 d=0.201897 t=12715
guo wai 	國外	c=5 d=0.003532 t=12715
guo yi hui 	過一會	c=2 d=1.73414e-06 t=12715
guo zai 	裹在	c=1 d=1 t=9250
ha 	哈	c=4 d=0.171388 t=12715
ha ha 	哈哈	c=7 d=1.69335 t=12715
ha ha ha 	哈哈哈	c=4 d=0.341298 t=12715
hai 	還	c=37 d=1.3009 t=12715
hai hao 	還好	c=3 d=0.00324708 t=12715
hai ke yi 	還可以	c=3 d=0.0232837 t=12715
hai mei 	還沒	c=1 d=0.0902655 t=12715
hai mei ding 	還沒丁	c=1 d=1 t=9473
hai mei you 	還沒有	c=1 d=1 t=9092
hai neng 	還能	c=1 d=2.89483e-05 t=12715
hai neng yong 	還能泳	c=1 d=1.73892e-09 t=12715
hai pa 	害怕	c=4 d=0.209088 t=12715
hai shi 	還是	c=27 d=0.847602 t=12715
hai shi yao 	還是要	c=1 d=1.49309e-10 t=12715
hai suan 	還算	c=1 d=1 t=10282
hai wei 	還未	c=1 d=7.58385e-12 t=12715
hai yao 	還要	c=4 d=0.00126208 t=12715
hai you 	還有	c=7 d=0.55473 t=12715
hai zai 	還在	c=2 d=0.382893 t=12715
han 	汗	c=1 d=1.16524e-05 t=12715
han chao 	韩潮	c=1 d=0.970446 t=12715
han lin yuan 	翰林院	c=1 d=1.77894e-12 t=12715
han zi 	漢字	c=4 d=0.53665 t=12715
hang 	行	c=0 d=0.0170928 t=12715
hang hao 	行號	c=2 d=0.00515491 t=12715
hang kong 	航空	c=7 d=9.65246e-11 t=12715
hao 	好	c=38 d=1.34377 t=12715
hao 	號	c=25 d=0.759572 t=12715
hao ba 	好吧	c=17 d=1.63548 t=12715
hao chi 	好吃	c=3 d=0.364219 t=12715
hao da 	好噠	c=3 d=0.970446 t=12715
hao de 	好的	c=38 d=2.91974 t=12715
hao duo 	好多	c=2 d=5.71501e-07 t=12715
hao hao xue 	好好學	c=1 d=1 t=9873
hao ji ci 	好幾次	c=1 d=4.84654e-09 t=12715
hao ji tao 	號幾套	c=1 d=3.03746e-12 t=12715
hao la 	好啦	c=4 d=0.360448 t=12715
hao le 	好了	c=11 d=0.0474188 t=12715
hao ma 	好嘛	c=1 d=1 t=10406
hao ma 	號碼	c=1 d=2.68566e-05 t=12715
hao si 	好似	c=1 d=0.0441572 t=12715
hao wan 	好玩	c=1 d=3.52902e-12 t=12715
hao xiang 	好像	c=23 d=0.749428 t=12715
hao xue 	好學	c=0 d=0.1 t=9872
hao yi dian 	好一點	c=1 d=1.45222e-07 t=12715
hao yong 	好用	c=3 d=0.376208 t=12715
hao you 	好友	c=2 d=0.995012 t=12715
he 	合	c=1 d=1 t=9013
he 	和	c=35 d=0.759572 t=12715
he 	鶴	c=2 d=0.839457 t=12715
he chang 	合唱	c=1 d=0.188247 t=12715
he dui 	覈對	c=1 d=0.0837433 t=12715
he fa 	合法	c=2 d=5.60089e-05 t=12715
he he 	呵呵	c=21 d=1.5792 t=12715
he he 	赫赫	c=12 d=0.954188 t=12715
he he da 	呵呵噠	c=1 d=1.86564e-13 t=12715
he li 	合理	c=2 d=0.15259 t=12715
he li xing 	合理性	c=1 d=0.00130702 t=12715
he ll o 	和≪哦	c=1 d=1 t=9208
he shang 	合上	c=1 d=0.000418012 t=12715
he shi 	合適	c=1 d=1 t=9919
he tong 	合同	c=3 d=3.8794e-08 t=12715
he zu 	合租	c=5 d=0.00327971 t=12715
he zu de hua 	合租的話	c=1 d=7.97133e-10 t=12715
hei 	黑	c=2 d=1.03255 t=10394
hei fu mei 	黑富美	c=1 d=4.32078e-11 t=12715
hei hei 	嘿嘿	c=5 d=1.57822 t=12715
hen 	很	c=17 d=0.997373 t=12715
hen da 	很大	c=5 d=1.67252e-05 t=12715
hen duo 	很多	c=16 d=0.060067 t=12715
hen duo ren 	很多人	c=1 d=9.85783e-09 t=12715
hen gao 	很高	c=1 d=8.85233e-08 t=12715
hen gui 	很貴	c=1 d=0.826959 t=12715
hen hao 	很好	c=4 d=0.907482 t=12715
hen jin 	很近	c=1 d=1 t=10249
hen jiu 	很久	c=2 d=9.35303e-06 t=12715
hen ke xi 	很可惜	c=1 d=2.06045e-05 t=12715
hen kuai 	很快	c=5 d=0.0175165 t=12715
hen qiang da 	很強大	c=1 d=0.882497 t=12715
hen quan 	很全	c=2 d=0.394219 t=12715
hen shao 	很少	c=1 d=3.66169e-06 t=12715
hen shao qu kan 	很少去看	c=1 d=3.68004e-05 t=12715
hen wan 	很晚	c=1 d=1.2662e-12 t=12715
hen xiao de 	很小的	c=1 d=0.603506 t=12715
hen you yong 	很有用	c=1 d=0.0982736 t=12715
hen zhong yao 	很重要	c=1 d=0.219808 t=12715
heng 	恆	c=1 d=1.51932e-09 t=12715
heng chuang 	恆創	c=4 d=3.97693 t=9271
heng chuang ke ji 	恆創科技	c=1 d=1 t=9260
heng pai 	橫排	c=2 d=1.30985 t=12715
hong 	泓	c=1 d=0.951229 t=12715
hong se 	紅色	c=2 d=0.000763861 t=12715
hou 	後	c=3 d=0.188166 t=12715
hou lai 	後來	c=4 d=1.20674e-05 t=12715
hou mian 	後面	c=5 d=0.0305096 t=12715
hou tian 	後天	c=1 d=1 t=11936
hou wei 	後衛	c=1 d=1 t=9247
hou xu 	後續	c=1 d=0.369723 t=12715
hou xuan ci 	候選詞	c=1 d=0.392586 t=12715
hu dong 	互動	c=1 d=1 t=10090
hu lian wang 	互聯網	c=1 d=1 t=10466
hu lve 	忽略	c=1 d=0.000678925 t=12715
hu shi 	忽視	c=1 d=1 t=9055
hu xing 	戶型	c=2 d=1.97531 t=9384
hu ying ying 	胡颖莹	c=1 d=0.826959 t=12715
hu zhao 	護照	c=3 d=2.83069e-06 t=12715
hu zhi 	滬指	c=0 d=0.0474734 t=12715
hua 	化	c=2 d=0.500616 t=12715
hua 	花	c=1 d=1 t=12102
hua 	話	c=9 d=0.433922 t=12715
hua dao 	滑倒	c=1 d=1 t=10424
hua dong 	滑動	c=1 d=1 t=10418
hua fei 	花費	c=1 d=1 t=11336
hua guo shan 	花果山	c=1 d=0.66034 t=12715
hua hen 	劃痕	c=1 d=1.7558e-05 t=12715
hua shuo 	話說	c=5 d=0.529935 t=12715
hua suan 	划算	c=2 d=5.03046e-06 t=12715
hua wen 	花紋	c=1 d=0.927743 t=12715
hua zuo 	畫作	c=1 d=1 t=10374
huan 	換	c=4 d=0.423161 t=12715
huan ge 	換個	c=1 d=5.01918e-09 t=12715
huan gei 	還給	c=1 d=1 t=9256
huan huan 	換換	c=1 d=3.70101e-13 t=12715
huan hui 	換回	c=1 d=0.00470091 t=12715
huan ji 	換機	c=1 d=0.0002139 t=12715
huan ye 	換頁	c=1 d=1.90728e-08 t=12715
huan yi fu 	換衣服	c=1 d=5.74464e-09 t=12715
huang 	黃	c=1 d=1.69657e-13 t=12715
huang jia 	皇家	c=0 d=0.0225373 t=12715
huang jia huo luo wei 	皇家活絡爲	c=1 d=0.226502 t=12715
huang jun jie 	黃俊杰	c=1 d=0.83527 t=12715
huang se 	黃色	c=1 d=0.000944363 t=12715
huang you 	黃油	c=1 d=2.65938e-07 t=12715
hui 	回	c=15 d=0.993079 t=12715
hui 	會	c=27 d=0.897258 t=12715
hui da 	回答	c=1 d=0.323033 t=12715
hui dao 	回到	c=1 d=0.0413782 t=12715
hui fu 	回覆	c=9 d=0.0401254 t=12715
